GRADE,VD/NVD,tap_wt_from_EAF,al ingot_kg__during_EAF_tapping,TEMP OPENING_LRF,LIFTING TEMP_LRF,LIME_LRF,SPAR,Mean_Oxygen,LRF_Initial_Chemistry_C,LRF_Initial_Chemistry_MN,LRF_Initial_Chemistry_S,LRF_Initial_Chemistry_SI,LRF_Initial_Chemistry_AL,LRF_Initial_Chemistry_N2,C_Target,Mn_Target,Si_Target,Al_Target,Carbon_Gap,Mn_Gap,Si_Gap,Al_Gap,Total_Al_LRF_kg
JSPHTHS(V),NVD,104.0,132.0,1505.0,1560.0,1200.0,25.0,445.4,0.105,1.0,0.0599,0.1719,0.09,60.0,0.19,1.325,0.2,0.03,0.085,0.3249999999999999,0.0281,-0.022,168.4
JSPHTHSV,NVD,99.0,132.0,1505.0,1615.0,1400.0,25.0,445.4,0.192,1.01,0.067,0.192,0.086,51.0,0.19,1.325,0.2,0.03,-0.002,0.3149999999999999,0.008,-0.022,193.15
FE550DLMH,NVD,99.0,132.0,1522.0,1585.0,1300.0,25.0,436.781728873635,0.109,0.67,0.0599,0.153,0.085,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,142.0
JSPHTHSV,NVD,98.0,132.0,1505.0,1568.0,1400.0,25.0,445.4,0.101,0.68,0.0539,0.1499,0.055,48.0,0.19,1.325,0.2,0.03,0.089,0.6449999999999999,0.0501,-0.022,211.3
JSPHTHSV,NVD,100.0,132.0,1505.0,1575.0,1400.0,25.0,445.4,0.078,0.71,0.055,0.1449,0.038,57.0,0.19,1.325,0.2,0.03,0.112,0.615,0.0551,-0.022,275.65
JSPHTHSV,NVD,96.0,132.0,1505.0,1570.0,1500.0,25.0,445.4,0.091,0.93,0.0589,0.158,0.063,51.0,0.19,1.325,0.2,0.03,0.099,0.3949999999999999,0.042,-0.022,280.6
JSPHTHSV,NVD,96.0,132.0,1505.0,1570.0,1200.0,25.0,445.4,0.116,1.09,0.063,0.1698,0.032,50.0,0.19,1.325,0.2,0.03,0.074,0.2349999999999998,0.0302,-0.022,280.6
JSPHTHSV,NVD,96.0,132.0,1505.0,1570.0,1400.0,25.0,445.4,0.116,1.09,0.063,0.17,0.032,51.0,0.19,1.325,0.2,0.03,0.074,0.2349999999999998,0.03,-0.022,316.9
JSPHTHSV,NVD,100.0,132.0,1505.0,1565.0,1400.0,25.0,445.4,0.095,0.96,0.0589,0.1449,0.032,51.0,0.19,1.325,0.2,0.03,0.095,0.365,0.0551,-0.022,257.5
JSPHTHSV,NVD,100.0,132.0,1505.0,1570.0,1300.0,25.0,445.4,0.091,0.91,0.058,0.1189,0.034,54.0,0.19,1.325,0.2,0.03,0.099,0.4149999999999999,0.0811,-0.022,208.0
JSPHTHSV,NVD,100.0,110.0,1505.0,1565.0,1200.0,25.0,445.4,0.104,0.95,0.0599,0.14,0.007,51.0,0.19,1.325,0.2,0.03,0.086,0.375,0.06,-0.022,255.3
JSPHTHSV,NVD,100.0,132.0,1505.0,1566.0,1400.0,25.0,445.4,0.103,1.0,0.0519,0.14,0.015,55.0,0.19,1.325,0.2,0.03,0.087,0.3249999999999999,0.06,-0.022,295.78
JSPHTHSV,NVD,100.0,132.0,1505.0,1567.0,1300.0,25.0,445.4,0.116,0.99,0.0429,0.151,0.023,51.0,0.19,1.325,0.2,0.03,0.074,0.3349999999999999,0.049,-0.022,257.5
JSPHTHSV,NVD,100.0,132.0,1505.0,1570.0,1100.0,25.0,445.4,0.099,0.82,0.0449,0.12,0.022,50.0,0.19,1.325,0.2,0.03,0.091,0.505,0.08,-0.022,302.05
JSPHTHSV,NVD,100.0,132.0,1505.0,1575.0,1600.0,25.0,445.4,0.104,1.04,0.048,0.1459,0.017,54.0,0.19,1.325,0.2,0.03,0.086,0.2849999999999999,0.0541,-0.022,242.65
JSPHTHSV,NVD,96.0,132.0,1505.0,1570.0,1300.0,25.0,445.4,0.094,1.04,0.063,0.156,0.029,44.0,0.19,1.325,0.2,0.03,0.096,0.2849999999999999,0.044,-0.022,208.0
JSPHTHSVVD,VD,96.0,132.0,1505.0,1565.0,1800.0,25.0,290.0,0.084,0.98,0.0599,0.125,0.01,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,379.6
JSPHTHSVVD,VD,96.0,132.0,1505.0,1568.0,1500.0,25.0,290.0,0.085,0.94,0.0599,0.109,0.015,43.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,330.1
JSPHTHSVVD,VD,96.0,132.0,1505.0,1565.0,1800.0,25.0,290.0,0.088,0.91,0.0729,0.121,0.011,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,379.6
FE550DLMH,NVD,100.0,132.0,1505.0,1618.0,1500.0,25.0,436.781728873635,0.058,0.55,0.066,0.095,0.019,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,191.5
JSPHTHSV,NVD,102.0,132.0,1505.0,1580.0,1500.0,25.0,445.4,0.065,0.62,0.064,0.155,0.033,61.0,0.19,1.325,0.2,0.03,0.125,0.705,0.045,-0.022,257.17
FE550DLMH,NVD,99.0,110.0,1505.0,1580.0,1200.0,25.0,436.781728873635,0.085,0.6,0.066,0.1179,0.011,41.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,169.5
JSPHTHSV,NVD,99.0,132.0,1505.0,1562.0,1350.0,25.0,445.4,0.087,0.9,0.048,0.13,0.021,60.0,0.19,1.325,0.2,0.03,0.103,0.4249999999999999,0.07,-0.022,257.5
JSPHTHSV,NVD,101.0,132.0,1505.0,1575.0,1300.0,25.0,445.4,0.09,0.92,0.0529,0.13,0.04,54.0,0.19,1.325,0.2,0.03,0.1,0.4049999999999999,0.07,-0.022,234.4
JSPHTHSV,NVD,113.0,132.0,1505.0,1570.0,1300.0,25.0,445.4,0.11,0.89,0.069,0.1439,0.028,60.0,0.19,1.325,0.2,0.03,0.08,0.4349999999999999,0.0561,-0.022,224.5
FE550DLMH,NVD,110.0,110.0,1505.0,1619.0,1250.0,25.0,436.781728873635,0.059,0.53,0.064,0.098,0.004,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,202.5
FE550DLMH,NVD,100.0,132.0,1505.0,1585.0,1400.0,25.0,436.781728873635,0.052,0.58,0.0599,0.0889,0.023,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,175.0
S275HS,NVD,107.0,132.0,1505.0,1575.0,1500.0,25.0,342.3058823529412,0.167,0.59,0.05,0.133,0.052,61.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,247.6
FE550DLMH,NVD,98.0,110.0,1505.0,1595.0,1200.0,25.0,436.781728873635,0.124,0.63,0.05,0.136,0.027,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,153.0
FE550DLMH,NVD,99.0,132.0,1505.0,1618.0,1500.0,25.0,436.781728873635,0.095,0.61,0.055,0.13,0.039,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,191.5
S275HS,NVD,97.0,132.0,1505.0,1575.0,1500.0,25.0,342.3058823529412,0.081,0.63,0.055,0.122,0.032,61.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,247.6
FE550DLMH,NVD,96.0,132.0,1505.0,1592.0,1150.0,25.0,436.781728873635,0.147,0.62,0.057,0.137,0.055,61.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,142.0
JSPHTHS(V),NVD,98.0,132.0,1505.0,1565.0,1380.0,25.0,445.4,0.097,0.84,0.05,0.13,0.047,61.0,0.19,1.325,0.2,0.03,0.093,0.485,0.07,-0.022,274.0
JSPHTHS(V),NVD,102.0,132.0,1505.0,1570.0,1250.0,25.0,445.4,0.107,1.01,0.056,0.186,0.069,66.0,0.19,1.325,0.2,0.03,0.083,0.3149999999999999,0.014,-0.022,208.0
JSPHTHS(V),NVD,103.0,132.0,1505.0,1565.0,1150.0,25.0,445.4,0.108,0.99,0.0539,0.2119,0.05,64.0,0.19,1.325,0.2,0.03,0.082,0.3349999999999999,-0.0118999999999999,-0.022,258.16
JSPHTHS(V),NVD,103.0,0.0,1505.0,1565.0,1350.0,25.0,445.4,0.116,0.95,0.056,0.14,0.002,54.0,0.19,1.325,0.2,0.03,0.074,0.375,0.06,-0.022,201.4
JSPHTHS(V),NVD,95.0,132.0,1505.0,1565.0,1400.0,25.0,445.4,0.118,1.03,0.0529,0.163,0.095,64.0,0.19,1.325,0.2,0.03,0.072,0.2949999999999999,0.037,-0.022,189.52
JSPHTHSV,NVD,96.0,132.0,1505.0,1569.0,1300.0,25.0,445.4,0.132,0.91,0.0539,0.1419,0.094,54.0,0.19,1.325,0.2,0.03,0.0579999999999999,0.4149999999999999,0.0581,-0.022,211.63
JSPHTHSV,NVD,103.0,132.0,1505.0,1568.0,1294.0,25.0,445.4,0.093,0.99,0.048,0.138,0.041,55.0,0.19,1.325,0.2,0.03,0.097,0.3349999999999999,0.062,-0.022,248.26
JSPHTHS(V),NVD,105.0,132.0,1505.0,1568.0,1250.0,25.0,445.4,0.143,1.0,0.0519,0.161,0.126,51.0,0.19,1.325,0.2,0.03,0.047,0.3249999999999999,0.039,-0.022,155.2
JSPHTHSV,NVD,100.0,132.0,1505.0,1565.0,1400.0,25.0,445.4,0.105,1.0,0.0459,0.1499,0.041,51.0,0.19,1.325,0.2,0.03,0.085,0.3249999999999999,0.0501,-0.022,219.55
JSPHTHS(V),NVD,100.0,132.0,1505.0,1560.0,1350.0,25.0,445.4,0.114,1.05,0.0519,0.167,0.029,51.0,0.19,1.325,0.2,0.03,0.076,0.2749999999999999,0.033,-0.022,244.3
JSPHTHSV,NVD,100.0,132.0,1505.0,1565.0,1400.0,25.0,445.4,0.125,1.1,0.0529,0.193,0.049,51.0,0.19,1.325,0.2,0.03,0.065,0.2249999999999998,0.007,-0.022,217.9
JSPHTHSV,NVD,100.0,132.0,1505.0,1565.0,1650.0,25.0,445.4,0.086,1.02,0.057,0.137,0.027,54.0,0.19,1.325,0.2,0.03,0.104,0.3049999999999999,0.063,-0.022,250.9
JSPHTHSV,NVD,100.0,132.0,1505.0,1565.0,1400.0,25.0,445.4,0.095,1.04,0.0589,0.153,0.06,54.0,0.19,1.325,0.2,0.03,0.095,0.2849999999999999,0.047,-0.022,267.4
JSPHTHSV,NVD,100.0,132.0,1505.0,1570.0,1500.0,25.0,445.4,0.098,0.97,0.0599,0.128,0.024,51.0,0.19,1.325,0.2,0.03,0.092,0.355,0.072,-0.022,208.0
FE550DLMH,NVD,100.0,110.0,1505.0,1610.0,1300.0,25.0,436.781728873635,0.104,0.61,0.0589,0.129,0.039,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,164.55
JSPHTHSV,NVD,100.0,132.0,1505.0,1620.0,1400.0,25.0,445.4,0.097,0.72,0.0609,0.1419,0.048,54.0,0.19,1.325,0.2,0.03,0.093,0.605,0.0581,-0.022,244.3
FE550DLMH,NVD,100.0,132.0,1505.0,1588.0,1600.0,25.0,436.781728873635,0.067,0.48,0.056,0.067,0.015,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,208.0
JSPHTHSV,NVD,100.0,132.0,1505.0,1575.0,1450.0,25.0,445.4,0.105,0.9,0.056,0.126,0.016,53.0,0.19,1.325,0.2,0.03,0.085,0.4249999999999999,0.074,-0.022,288.85
FE550DLMH,NVD,100.0,132.0,1505.0,1585.0,1250.0,25.0,436.781728873635,0.067,0.64,0.055,0.131,0.048,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,158.5
JSPHTHSV,NVD,100.0,132.0,1505.0,1570.0,1300.0,25.0,445.4,0.11,1.03,0.0599,0.1769,0.055,51.0,0.19,1.325,0.2,0.03,0.08,0.2949999999999999,0.0231,-0.022,247.6
JSPHTHSV,NVD,100.0,110.0,1505.0,1586.0,1300.0,25.0,445.4,0.083,1.01,0.0759,0.108,0.011,47.0,0.19,1.325,0.2,0.03,0.107,0.3149999999999999,0.092,-0.022,294.9
JSPHTHSV,NVD,100.0,132.0,1505.0,1590.0,1300.0,25.0,445.4,0.108,0.96,0.05,0.116,0.015,54.0,0.19,1.325,0.2,0.03,0.082,0.365,0.084,-0.022,307.0
JSPHTHSV,NVD,101.0,132.0,1505.0,1560.0,1300.0,25.0,445.4,0.111,1.03,0.07,0.169,0.028,61.0,0.19,1.325,0.2,0.03,0.079,0.2949999999999999,0.031,-0.022,283.9
JSPHTHSV,NVD,101.0,132.0,1505.0,1569.0,1650.0,25.0,445.4,0.132,0.97,0.068,0.154,0.035,47.0,0.19,1.325,0.2,0.03,0.0579999999999999,0.355,0.046,-0.022,307.0
FE550DLMH,NVD,98.0,110.0,1505.0,1625.0,1300.0,25.0,436.781728873635,0.088,0.61,0.0739,0.114,0.014,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,186.0
FE550DLMH,NVD,103.0,110.0,1505.0,1580.0,1300.0,25.0,436.781728873635,0.11,0.58,0.07,0.134,0.071,47.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
FE550DLMH,NVD,101.0,110.0,1505.0,1575.0,1250.0,25.0,436.781728873635,0.08,0.63,0.0599,0.117,0.021,45.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,153.0
FE550DLMH,NVD,101.0,110.0,1505.0,1577.0,1150.0,25.0,436.781728873635,0.104,0.63,0.058,0.139,0.051,43.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
FE550DLMH,NVD,103.0,110.0,1505.0,1575.0,1300.0,25.0,436.781728873635,0.08,0.55,0.0609,0.108,0.005,48.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,169.5
FE550DLMH,NVD,105.0,110.0,1505.0,1573.0,1300.0,25.0,436.781728873635,0.07,0.6,0.056,0.111,0.02,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,169.5
FE550DLMH,NVD,100.0,110.0,1505.0,1570.0,1450.0,25.0,436.781728873635,0.07,0.6,0.065,0.109,0.012,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,186.0
FE550DLMH,NVD,100.0,110.0,1505.0,1570.0,1200.0,25.0,436.781728873635,0.083,0.61,0.058,0.122,0.015,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
FE550DLMH,NVD,100.0,110.0,1505.0,1570.0,1100.0,25.0,436.781728873635,0.087,0.61,0.0609,0.133,0.046,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
FE550DLMH,NVD,101.0,110.0,1505.0,1590.0,1100.0,25.0,436.781728873635,0.076,0.58,0.0879,0.116,0.018,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,202.5
FE550DLMH,NVD,100.0,110.0,1505.0,1570.0,1400.0,25.0,436.781728873635,0.103,0.59,0.0729,0.125,0.033,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,153.0
S275HS,NVD,102.0,110.0,1505.0,1612.0,1466.0,25.0,342.3058823529412,0.091,0.58,0.0759,0.131,0.034,58.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,249.36
FE550DLMH,NVD,100.0,110.0,1505.0,1570.0,1400.0,25.0,436.781728873635,0.089,0.6,0.065,0.133,0.024,60.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,153.0
FE550DLMH,NVD,100.0,110.0,1505.0,1585.0,1200.0,25.0,436.781728873635,0.099,0.63,0.062,0.135,0.054,61.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
S275HS,NVD,99.0,110.0,1505.0,1570.0,1500.0,25.0,342.3058823529412,0.067,0.6,0.068,0.1189,0.03,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,245.4
FE550DLMH,NVD,97.0,110.0,1505.0,1580.0,1100.0,25.0,436.781728873635,0.122,0.66,0.0739,0.152,0.034,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
JSPHTHSV,NVD,101.0,110.0,1505.0,1585.0,1400.0,25.0,445.4,0.093,0.96,0.0739,0.1409,0.03,60.0,0.19,1.325,0.2,0.03,0.097,0.365,0.0591,-0.022,235.5
JSPHTHSV,NVD,101.0,132.0,1505.0,1581.0,1400.0,25.0,445.4,0.096,1.0,0.067,0.155,0.025,57.0,0.19,1.325,0.2,0.03,0.094,0.3249999999999999,0.045,-0.022,229.78
JSPHTHSV,NVD,103.0,132.0,1505.0,1585.0,1600.0,25.0,445.4,0.083,0.82,0.069,0.096,0.012,51.0,0.19,1.325,0.2,0.03,0.107,0.505,0.104,-0.022,340.0
JSPHTHSV,NVD,103.0,132.0,1505.0,1579.0,1400.0,25.0,445.4,0.097,0.9,0.065,0.136,0.02,54.0,0.19,1.325,0.2,0.03,0.093,0.4249999999999999,0.064,-0.022,336.04
JSPHTHSV,NVD,106.0,132.0,1505.0,1580.0,1400.0,25.0,445.4,0.09,0.94,0.062,0.1499,0.025,54.0,0.19,1.325,0.2,0.03,0.1,0.385,0.0501,-0.022,315.25
JSPHTHSV,NVD,105.0,178.0,1505.0,1575.0,1450.0,25.0,445.4,0.087,0.92,0.056,0.131,0.017,55.0,0.19,1.325,0.2,0.03,0.103,0.4049999999999999,0.069,-0.022,315.05
FE550DLMH,NVD,104.0,110.0,1505.0,1613.0,1450.0,25.0,436.781728873635,0.057,0.53,0.057,0.095,0.033,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,172.8
JSPHTHSV,NVD,99.0,132.0,1505.0,1578.0,1600.0,25.0,445.4,0.076,0.57,0.062,0.11,0.048,51.0,0.19,1.325,0.2,0.03,0.114,0.755,0.09,-0.022,274.0
FE550DLMH,NVD,102.0,132.0,1505.0,1595.0,1500.0,25.0,436.781728873635,0.08,0.54,0.056,0.1189,0.091,54.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,142.0
JSPHTHSV,NVD,98.0,132.0,1505.0,1578.0,1250.0,25.0,445.4,0.088,0.61,0.055,0.137,0.065,50.0,0.19,1.325,0.2,0.03,0.102,0.715,0.063,-0.022,234.4
FE550DLMH,NVD,96.0,110.0,1505.0,1585.0,1300.0,25.0,436.781728873635,0.096,0.68,0.0599,0.1469,0.062,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
JSPHTHSV,NVD,103.0,178.0,1505.0,1580.0,1400.0,25.0,445.4,0.121,0.91,0.064,0.158,0.075,51.0,0.19,1.325,0.2,0.03,0.069,0.4149999999999999,0.042,-0.022,257.3
JSPHTHSV,NVD,97.0,156.0,1505.0,1580.0,1400.0,25.0,445.4,0.133,1.02,0.069,0.168,0.103,54.0,0.19,1.325,0.2,0.03,0.0569999999999999,0.3049999999999999,0.032,-0.022,281.5
JSPHTHSV,NVD,101.0,132.0,1505.0,1578.0,1400.0,25.0,445.4,0.155,0.97,0.065,0.1759,0.12,54.0,0.19,1.325,0.2,0.03,0.035,0.355,0.0241,-0.022,171.7
JSPHTHSV,NVD,101.0,132.0,1505.0,1575.0,1400.0,25.0,445.4,0.108,0.91,0.0729,0.125,0.023,54.0,0.19,1.325,0.2,0.03,0.082,0.4149999999999999,0.075,-0.022,330.1
JSPHTHSV,NVD,102.0,132.0,1505.0,1578.0,1450.0,25.0,445.4,0.095,0.94,0.0599,0.169,0.069,54.0,0.19,1.325,0.2,0.03,0.095,0.385,0.031,-0.022,274.0
JSPHTHSV,NVD,100.0,132.0,1505.0,1578.0,1600.0,25.0,445.4,0.082,0.61,0.08,0.113,0.02,53.0,0.19,1.325,0.2,0.03,0.108,0.715,0.087,-0.022,343.3
FE550DLMH,NVD,99.0,110.0,1505.0,1615.0,1250.0,25.0,436.781728873635,0.084,0.61,0.078,0.117,0.011,50.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,120.0
FE550DLMH,NVD,97.0,110.0,1505.0,1598.0,1700.0,25.0,436.781728873635,0.071,0.58,0.08,0.13,0.02,47.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,228.9
JSPHTHSV,NVD,101.0,110.0,1505.0,1610.0,1550.0,25.0,445.4,0.06,0.52,0.078,0.0719,0.006,60.0,0.19,1.325,0.2,0.03,0.13,0.8049999999999999,0.1281,-0.022,450.0
FE550DLMH,NVD,99.0,110.0,1505.0,1575.0,1550.0,25.0,436.781728873635,0.057,0.61,0.1,0.12,0.015,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,186.0
JSPTHHSV,NVD,93.0,110.0,1505.0,1580.0,1500.0,25.0,436.781728873635,0.11,1.05,0.0749,0.1439,0.019,67.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,268.5
JSPHTHSV,NVD,100.0,110.0,1505.0,1575.0,1550.0,25.0,445.4,0.084,0.6,0.078,0.124,0.019,58.0,0.19,1.325,0.2,0.03,0.106,0.725,0.076,-0.022,285.0
JSPHTHSV,NVD,100.0,110.0,1505.0,1580.0,1300.0,25.0,445.4,0.097,0.97,0.0859,0.1489,0.025,64.0,0.19,1.325,0.2,0.03,0.093,0.355,0.0511,-0.022,301.5
FE550DLMH,NVD,99.0,110.0,1505.0,1575.0,1400.0,25.0,436.781728873635,0.07,0.57,0.08,0.113,0.007,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,186.0
JSPTHHSV,NVD,95.0,110.0,1505.0,1578.0,1550.0,25.0,436.781728873635,0.098,0.64,0.085,0.131,0.041,57.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,219.0
FE550DLMH,NVD,99.0,110.0,1505.0,1580.0,1500.0,25.0,436.781728873635,0.065,0.56,0.0749,0.047,0.002,51.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,235.5
JSPTHHSV,NVD,99.0,110.0,1505.0,1585.0,1400.0,25.0,436.781728873635,0.154,1.02,0.058,0.187,0.089,55.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,186.0
JSPTHHSV,NVD,101.0,110.0,1505.0,1578.0,1450.0,25.0,436.781728873635,0.087,0.98,0.0729,0.1449,0.009,64.0,0.19,1.05,0.2,0.03,0.093,0.2549999999999999,0.0499999999999999,-0.022,285.0
